rater_id,canonical_name,groups,expertise_level,t_mean,t_sd,ell_mean,ell_sd,n_labels,pos_rate
0,Aaron F. Struck,"[""Bonobo"", ""profiler_iiic"", ""sparcnet50K""]",expert,-0.16604918653804343,0.03264144191425858,0.8461931081152292,0.0926947158965679,452,0.5641592920353983
2,Abubakar Ayub,"[""New28""]",novice,0.19976965142763214,0.04445465438017796,0.020019242430259373,0.07339705335255585,918,0.644880174291939
3,Adam S. Greenblatt,"[""Bonobo""]",expert,-0.3318329055275891,0.02686607832621692,1.1176463144339528,0.09311800792937025,452,0.47123893805309736
5,Alice Lam,"[""Super8"", ""sparcnet50K""]",expert,-0.17070015360728827,0.00467944993994396,1.2211845979969669,0.016391167113097523,13827,0.6442467635785059
6,Aline Herlopian,"[""Super8"", ""sparcnet50K""]",expert,-0.0819004278408583,0.005100641620653014,1.1298904920752955,0.016297889063241162,13827,0.6899544369711434
9,An Ouyang,"[""New28""]",novice,-0.14377619935211436,0.028976902672259254,0.4326121224237142,0.06863750355824547,1000,0.525
13,Anil,"[""New28""]",novice,0.07877234292236915,0.02266669184083518,0.7801386975671792,0.059610722000104734,1000,0.663
24,Chinasa Nwankwo,"[""Bonobo""]",expert,-0.3736238567816259,0.03072606517026543,0.9365550637814938,0.0935165038300486,452,0.4469026548672566
32,Dan Rubin,"[""New28"", ""sparcnet50K""]",experienced,-0.23822176137911974,0.01799971186242909,1.0403667547778508,0.06084796644852316,1000,0.489
33,Dan Weber,"[""Bonobo""]",expert,-0.6561943655926175,0.027158631443237866,0.8575404429786638,0.06357368913826102,930,0.23655913978494625
41,Douglas Maus,"[""Super8"", ""sparcnet50K""]",expert,-0.9887780072544536,0.0068152033176218955,0.8525766744116605,0.014677306726241868,13827,0.23114196861213568
44,Elissa Ye,"[""New28""]",novice,-0.14677465834574127,0.025813854575223432,0.5711210137201482,0.06515408198392021,1000,0.533
55,Fabio A. Nascimento,"[""Bonobo""]",expert,-0.5484017795521652,0.017515561841547143,1.005154210655996,0.04791911630165378,1690,0.3047337278106509
58,GT,"[""New28""]",novice,-0.10173322054877311,0.022130232105842182,0.869925970980302,0.0661364693442292,867,0.5617070357554786
59,Gabe Mertz,"[""New28""]",expert,-0.26803273938960986,0.01622304153600989,1.2033351112693427,0.0605704955044046,1000,0.454
60,Gamal Osman,"[""Bonobo"", ""sparcnet50K""]",expert,-0.020104358772452865,0.01387908257382414,1.4147284900964945,0.058792253446887995,1383,0.47288503253796094
66,Hiba A. Haider,"[""Bonobo"", ""sparcnet50K""]",expert,-0.11970691933206457,0.01359479881969112,1.4353281970363703,0.05765869544956647,1383,0.4201012292118583
70,Ioannis Karakis,"[""Super8"", ""sparcnet50K""]",expert,-0.09291492839542213,0.0048539202776500655,1.1124389685123883,0.01533459079117232,15670,0.6504786215698788
71,Jake Hogan,"[""New28""]",novice,-0.024901499912873208,0.04350810152676621,-0.029600846098656736,0.08276437996242723,1000,0.569
73,Jenn Kim,"[""New28"", ""sparcnet50K""]",experienced,-0.17796044101576078,0.018628161043045207,0.9977624485640584,0.06182288971231815,1000,0.512
76,Ji Yeoun Yoo,"[""Bonobo"", ""sparcnet50K""]",expert,-0.007034857113468418,0.01377734636540167,1.2342981615520323,0.0481568160439022,1861,0.45459430413756047
78,Jin Jing,"[""New28"", ""sparcnet50K""]",experienced,-0.0718573072306734,0.011564153092746084,1.0591350532156967,0.03635429058538522,2868,0.47594142259414224
79,Jonathan J. Halford,"[""Super8"", ""sparcnet50K""]",expert,-0.5774772842035989,0.006402968429672849,0.7240078703878224,0.015642909522514993,14282,0.41555804509172384
82,Julia Carlson,"[""New28""]",novice,-0.13877496866860453,0.015204101991436264,1.2602622900771172,0.06329609987508737,1000,0.542
93,Lindsay Joslyn,"[""New28""]",experienced,-0.17182945088764862,0.017444900667658917,1.07870932765075,0.061427167762639595,1000,0.525
95,Lisa Dümmer,"[""New28""]",novice,0.008791713608114064,0.031214006083388528,0.3673059159407694,0.06624182408127076,1000,0.597
97,M. Brandon Westover,"[""Super8"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.07390563381996865,0.005288918657894625,1.0828178142044582,0.015180552522594828,15670,0.7294830887045309
100,Marcus Ng,"[""Super8"", ""sparcnet50K""]",expert,-0.14065768901657105,0.00486437634694814,1.08732034823797,0.015226324178984391,15670,0.6243777919591577
106,Maurice Abou Jaoude,"[""New28""]",experienced,-0.15684487861419147,0.016409501385977236,1.1723561116212486,0.06155996448526641,1000,0.534
109,Mo Shafi,"[""New28"", ""sparcnet50K""]",expert,-0.310894800440896,0.01271880338055845,1.5958582855250019,0.061793699272126947,1000,0.427
118,Nitish M. Harid,"[""New28""]",expert,-0.13046523376580305,0.017813316430962026,1.0646620424679842,0.061353789019725956,1000,0.544
119,Olga Selioutski,"[""Bonobo""]",expert,-0.3288492048426491,0.012580246223487798,1.4180695344383334,0.05085820283848711,1861,0.29661472326706073
120,Olga Taraschenko,"[""Bonobo"", ""sparcnet50K""]",expert,-0.32534838288242585,0.016986104941543616,0.9378698163711474,0.046720754192196096,1861,0.30951101558301986
125,Peter Kaplan,"[""New28"", ""sparcnet50K""]",expert,-0.20471664878538645,0.014585043092990893,1.3479648646604216,0.0613216996505758,1000,0.502
127,R01_jj,"[""spikeed_resident_jj""]",novice,-0.3721089500432792,0.03321540189623549,0.8041097956086813,0.08665673813503744,461,0.3947939262472885
128,R01_post,"[""spikeed_resident_post""]",novice,-0.6885058834549478,0.040828697591708464,0.6410340918124132,0.0799573535881308,468,0.25427350427350426
129,R01_pre,"[""spikeed_resident_pre""]",novice,-0.9025976062304905,0.04534122717955645,0.6235763908437647,0.07609381765652533,481,0.18295218295218296
130,R02_post,"[""spikeed_resident_post""]",novice,-0.06336036161796606,0.028797950256903036,0.9473969894351656,0.09219517598890148,458,0.5698689956331878
131,R02_pre,"[""spikeed_resident_pre""]",novice,-0.34023210322315556,0.06223673455080787,-0.006024903225853924,0.110581435604328,476,0.4474789915966387
132,R03_post,"[""spikeed_resident_post""]",novice,-0.01634749103288685,0.07101069130628186,-0.13077872176525854,0.12107397382931044,457,0.5470459518599562
133,R03_pre,"[""spikeed_resident_pre""]",novice,0.14729726683640326,0.05579654887428368,0.12977393072749857,0.09644910595599736,483,0.6149068322981367
134,R04_jj,"[""spikeed_resident_jj""]",novice,-0.3082124549498642,0.03161426821004652,0.8531611817635865,0.08625814899568506,463,0.41252699784017277
135,R04_post,"[""spikeed_resident_post""]",novice,-0.4926799823923926,0.0369373330219297,0.6922429115813862,0.08312447731621601,463,0.3304535637149028
136,R04_pre,"[""spikeed_resident_pre""]",novice,-0.609532017351166,0.03900736701222901,0.6387674147473523,0.08062787796549524,479,0.2776617954070981
137,R05_jj,"[""spikeed_resident_jj""]",novice,0.03659895247366463,0.040300119687706464,0.5339532299187025,0.09052081369124632,468,0.594017094017094
138,R05_post,"[""spikeed_resident_post""]",novice,0.08508566305315193,0.031157678314456882,0.8862486673969368,0.08977896234693439,459,0.6427015250544662
139,R05_pre,"[""spikeed_resident_pre""]",novice,-0.13283921785750008,0.09498017081062568,-0.46361356171778717,0.16118825168089954,466,0.5107296137339056
140,R06_jj,"[""spikeed_resident_jj""]",novice,0.10162679170514376,0.04406830886314027,0.43845004899527684,0.09058765326966635,465,0.6279569892473118
