,t_spike,l_spike,t_seizure,l_seizure,t_lpd,l_lpd,t_gpd,l_gpd,t_lrda,l_lrda,t_grda,l_grda
t_spike,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_spike,0.0,1.0,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627
t_seizure,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_seizure,0.0,0.32597281907588627,0.0,1.0,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627
t_lpd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_lpd,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,1.0,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627
t_gpd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
l_gpd,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,1.0,0.0,0.32597281907588627,0.0,0.32597281907588627
t_lrda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
l_lrda,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,1.0,0.0,0.32597281907588627
t_grda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
l_grda,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,0.32597281907588627,0.0,1.0
